Text,Sentiment
 nake donald trump statu pop up across america,"tf.Tensor(1, shape=(), dtype=int32)"
 presid donald j trump accomplish list,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump announc revolutionari healthcar transpar rule,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump dad live 94 mom 88 observ short time world gene better predictor longev anyth els give up hater,"tf.Tensor(2, shape=(), dtype=int32)"
 would do no less us wish no ill famili trump hand deni health insur nephew sick child man heartless monster,"tf.Tensor(0, shape=(), dtype=int32)"
 still stand true even today frank serpico say close statement go donald j trump presidenti corrupt cannot exist unless least toler higher level govern impeach,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump liar yes donald trump dishonest yes have donald trump break law yes,"tf.Tensor(0, shape=(), dtype=int32)"
 particular caus like hundr donald trump caus hard keep track caus plus can appli caus carricatur instanc caus go along trump antichrist hitler quasimodo etc etc,"tf.Tensor(0, shape=(), dtype=int32)"
 someth donald trump would say ve probabl abus women,"tf.Tensor(1, shape=(), dtype=int32)"
 game let tri donald trump actual win popular vote factor gazillion illeg vote hillari get peopl win realz do do,"tf.Tensor(2, shape=(), dtype=int32)"
 lie not becom qualiti neither play stupid stop embarrass donald trump do realiz trump not around much longer re go tie reput name not good,"tf.Tensor(0, shape=(), dtype=int32)"
 fool presid donald j trump have open door mani 40 year have victim peopl see truth sheep no more,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump bodi count not narcissist liar killer,"tf.Tensor(1, shape=(), dtype=int32)"
 onli us peopl get news comedi program like daili show have no news sourc whatsoev know more current event fox viewer fox news more like trump impeach shield new york time,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump react peopl produc fact show bad light act speak like 8 year old boy bulli not smart,"tf.Tensor(0, shape=(), dtype=int32)"
 btw hire donald trump fire peopl like yovanovitch also epstein didn t kill either rt,"tf.Tensor(1, shape=(), dtype=int32)"
 secret donald trump 😳 🤡,"tf.Tensor(0, shape=(), dtype=int32)"
 file wtaf also,"tf.Tensor(1, shape=(), dtype=int32)"
 onli suit ll say nyt fakenew help donaldtrumpjr book way kid kid ll let peopl like student california boo stage love make point,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump abo trieka 😺,"tf.Tensor(2, shape=(), dtype=int32)"
 not betsi du vos aggress cherish chew toy donald trump stupid abus fruitfli tuesday,"tf.Tensor(0, shape=(), dtype=int32)"
 doubt veri much most like would have deposit check bank account,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump announc revolutionari healthcar transpar rule,"tf.Tensor(1, shape=(), dtype=int32)"
 presid donald trump spend more two hour walter reed nation medic center saturday white hous say medic test part annual physic,"tf.Tensor(2, shape=(), dtype=int32)"
 kevin mccallist ask futur presid donald trump direct lobbi beauti plaza hotel home alon 2 lose new york,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump have emerg physic walterre hospit howev doctor unsur whether even possibl remov lindsey graham head donald trump ass,"tf.Tensor(0, shape=(), dtype=int32)"
 would anyon tweet have hire donald trump fire peopl like yovanovitch mean sure do peopl like comey bitch yate,"tf.Tensor(2, shape=(), dtype=int32)"
 nullnumb turbul donald trump save us terrorist ll destroy christma,"tf.Tensor(0, shape=(), dtype=int32)"
 have ask foreign leader investig invest deal donald junior ivanka trump would have impeach offens will sacrific donald freak trump put law countri trump,"tf.Tensor(0, shape=(), dtype=int32)"
 zero do fact retweet guy sit down speak donald trump jr have do anyth re tell god doesn t like retweet lol listen say bibl say bibl also tell not cast pearl swine,"tf.Tensor(2, shape=(), dtype=int32)"
 two nasti vile men perpetu shame hoax peopl unit state laugh way bank do mean fool us uncov dispirit discourag us would have work have not donald j trump,"tf.Tensor(0, shape=(), dtype=int32)"
 sale donald trump nutrit fact t shirt buy impeachtrump impeachtrumpnow impeachthemftraitornow impeachtrump 👉,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump have nomin nobel peac prize hous republican,"tf.Tensor(1, shape=(), dtype=int32)"
 knus radio host craig silverman fire midshow critic trump via,"tf.Tensor(1, shape=(), dtype=int32)"
 wooooow,"tf.Tensor(1, shape=(), dtype=int32)"
 happen daca holder suprem court allow trump end program u suprem court consid whether presid donald trump can go forward plan end defer 25thamendmentnow impeachtrump theresist,"tf.Tensor(1, shape=(), dtype=int32)"
 tonight renew resolv america never socialist countri donald j trump februari 5 2019,"tf.Tensor(1, shape=(), dtype=int32)"
 freespeech mean onli pro trump speech conserv host fire midshow critic trump knus northkorearadio,"tf.Tensor(0, shape=(), dtype=int32)"
 beckerman donald trump tall ive never think height,"tf.Tensor(1, shape=(), dtype=int32)"
 surpris guess peopl tell donald trump right along hawaii tell man local anybodi could buy fake birth certif like hawaii,"tf.Tensor(2, shape=(), dtype=int32)"
 dec 2017 👇,"tf.Tensor(1, shape=(), dtype=int32)"
 updat conserv radio station knus pull plug host craig silverman midshow trump critic tabachnik report,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump anoint god jacob not elect bcos 24hour d announc 2019 elect god men have 99 msm publish madam presid american shud look economi know god never break promis neither do judg men do,"tf.Tensor(0, shape=(), dtype=int32)"
 funni think minor dumb white wealthi kind can t pass parent can make right donat onli way get go life dumb box rock donald trump don jr jar kushner,"tf.Tensor(2, shape=(), dtype=int32)"
 agre noth wrong donald trump punk ass,"tf.Tensor(0, shape=(), dtype=int32)"
 editor note pronounc kaynus,"tf.Tensor(1, shape=(), dtype=int32)"
 theferalleft fascist liber nazi report crack down user tweet hire donald trump fire peopl like yovanovitch foxnew,"tf.Tensor(0, shape=(), dtype=int32)"
 ve chutzpah accus hunter biden profit father former vp nyt not fake news fail newspap anymor right crimin thug trump despic jr travel lover promot book tax payer expens,"tf.Tensor(0, shape=(), dtype=int32)"
 cnn fate converg event friday reflect cultur corrupt intimid endem circl presid vow drain swamp instead becom incarn,"tf.Tensor(0, shape=(), dtype=int32)"
 southern racist get 1 000 donald trump vote hold home depot tiki torch way burn jesus cross vdare kag2020 briberi racism gop proudboy whitehous kkk nra assaultweapon maga redneck cowboy nascar redstat,"tf.Tensor(1, shape=(), dtype=int32)"
 tonight 6 presid donald trump restor rank offic pardon two other one kiowa counti find latest inform tonight 6 p,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump lunch,"tf.Tensor(1, shape=(), dtype=int32)"
 hire donald trump fire peopl like yovanovitch,"tf.Tensor(1, shape=(), dtype=int32)"
 hey check,"tf.Tensor(1, shape=(), dtype=int32)"
 peopl elect donald trump bcos sick washington institut like swamp yovanovitch,"tf.Tensor(0, shape=(), dtype=int32)"
 herebi accus presid donald trump briberi tax fraud obstruct justic treason,"tf.Tensor(1, shape=(), dtype=int32)"
 usa understand correct donald trump collect no money salari instead donat obama biden noth like presid donald trump trump actual care countri do do not bring 2020 speak onli louder time,"tf.Tensor(0, shape=(), dtype=int32)"
 choir love choir angel choir one day celesti kingdom serenad god son holi spirit choir select donald j trump nativ son mitt romney base faith angel choir pledg,"tf.Tensor(2, shape=(), dtype=int32)"
 ovo xoxo put video donald trump inbox chile have go expediti,"tf.Tensor(1, shape=(), dtype=int32)"
 have person hear donald trump brag grab femal pussi need support have get news tell stori potus maga trump donaldtrump fakenew,"tf.Tensor(1, shape=(), dtype=int32)"
 ag barr and sec state pompeo will prostitut donald j trump have respect peer and general respect citizen 2 dude want get dirti trump dump pile wast human protoplasm,"tf.Tensor(0, shape=(), dtype=int32)"
 love mani easter egg deathstrand take shot donald trump like one ps4share,"tf.Tensor(2, shape=(), dtype=int32)"
 hire donald trump fire peopl like yovanovitch,"tf.Tensor(1, shape=(), dtype=int32)"
 knus radio host craig silverman fire midshow critic trump,"tf.Tensor(1, shape=(), dtype=int32)"
 trump meet doctor physic exam white hous say earli part annual checkup 73 year old arriv walter reed nation militari medic center bethesda maryland afternoon physic exam,"tf.Tensor(0, shape=(), dtype=int32)"
 donald trump speak ukrain presid twice first time mention miss univers pageant second time mention potenti oppon joe biden neither time do mention word corrupt,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump throw anoth one loyalist garbag via,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump announc revolutionari healthcar transpar rule,"tf.Tensor(1, shape=(), dtype=int32)"
 flick david cameron rig donald trump,"tf.Tensor(1, shape=(), dtype=int32)"
 doctor pronounc donaldtrump fat stupid via,"tf.Tensor(0, shape=(), dtype=int32)"
 senior trump offici embellish r sum have face fake time cover,"tf.Tensor(0, shape=(), dtype=int32)"
 nra malin america wasn t build socialist bureaucraci oper elit polit class ignor middl american trump saw no one capabl do have do lay asid success life step up els could do besid donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 murder intent behind donald trump latest twitter rant via,"tf.Tensor(2, shape=(), dtype=int32)"
 do not hire donald trump fire yovanovich bite certain glad do,"tf.Tensor(2, shape=(), dtype=int32)"
 shame disgrac man sell soul russia donald trump know aid abet crime endors lawbreak violat 1729 protect govern process tamper victim wit inform 18 u c 1512,"tf.Tensor(0, shape=(), dtype=int32)"
 mani dear leader can have one time,"tf.Tensor(2, shape=(), dtype=int32)"
 most compromis amor administr histori surround crimin and dig hole horribl negoti opposit unifi day underscor corrupt swand trump presid,"tf.Tensor(0, shape=(), dtype=int32)"
 damn libtard snowflak can t take joke hillybilli handfishin get er do freedom,"tf.Tensor(1, shape=(), dtype=int32)"
 unusu inappropri potus donald j trump elect 2016 2020 geez make descriptor sound like negat,"tf.Tensor(2, shape=(), dtype=int32)"
 never think would possibl taylor swift exhibit encourag more childish behavior donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 whittler go fish expedit find onli donald corrupt go wh tell trump trump walter reed,"tf.Tensor(0, shape=(), dtype=int32)"
 donald j trump pardon roger stone sign petit via,"tf.Tensor(1, shape=(), dtype=int32)"
 america wasn t build socialist bureaucraci oper elit polit class ignor middl american trump saw no one capabl do have do lay asid success life step up els could do besid donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 tend agre far go seem relat narrow point appli depend lot specul donald trump ask investig not onli target joe biden also make sure unit state isn t,"tf.Tensor(2, shape=(), dtype=int32)"
 hire donald trump fire peopl like yovanovitch twitter suspend account dare twitter 🤬,"tf.Tensor(1, shape=(), dtype=int32)"
 republican should asham silenc trump call china go biden via,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump bodi count not narcissist liar killer,"tf.Tensor(1, shape=(), dtype=int32)"
 dear louisiana cannot believ one word donald trump say except mayb mani hour leav vote pleas vote john bel edward,"tf.Tensor(2, shape=(), dtype=int32)"
 radio host craig silverman cut mid show critic presid trump noth like censorship usa asaddayforamerica,"tf.Tensor(0, shape=(), dtype=int32)"
 spend twitter life analys advertis campaign fair certain have proof donald trump use tv show mean control whistleblow,"tf.Tensor(2, shape=(), dtype=int32)"
 truthtold donald trump bodi count not narcissist liar killer,"tf.Tensor(1, shape=(), dtype=int32)"
 ee uu para cristo donald trump dice yo amo la biblia y nadi pued vencerla,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump have go walter reed hospit hope get anoth diagnosi bone spur way dodg impeach,"tf.Tensor(0, shape=(), dtype=int32)"
 jan 5 2017 washington presid elect donald j trump transit staff have issu blanket edict requir polit appoint ambassador leav oversea post inaugur day,"tf.Tensor(1, shape=(), dtype=int32)"
 hire donald trump fire peopl like yovanovitch,"tf.Tensor(1, shape=(), dtype=int32)"
 walter shaub former head u offic govern ethic bash peopl continu defend donald trump via,"tf.Tensor(1, shape=(), dtype=int32)"
 mike pompeo take crumbl state depart mari yovanovitch testimoni show make wors mother jone,"tf.Tensor(0, shape=(), dtype=int32)"
 mike pompeo take crumbl state depart mari yovanovitch testimoni show make wors mother jone,"tf.Tensor(0, shape=(), dtype=int32)"
 day underscor corrupt swamp trump presid,"tf.Tensor(0, shape=(), dtype=int32)"
 donald trump bodi count not narcissist liar killer,"tf.Tensor(1, shape=(), dtype=int32)"
 hire donald trump fire peopl like yovanovitch,"tf.Tensor(1, shape=(), dtype=int32)"
 teach donald j trump god jesus gospel bibl angel holyspirit faith trust love gospel kingdom peac father miracl faith,"tf.Tensor(2, shape=(), dtype=int32)"
 trump heart attack rush walter reed,"tf.Tensor(1, shape=(), dtype=int32)"
 ack donald trump homealone2,"tf.Tensor(1, shape=(), dtype=int32)"
 doctor walter reed find exam donald trump hillari clinton nanci pelosi elizabeth warren live rent free brain refus leav,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump arriv walter reed unannounc physic exam smartnew,"tf.Tensor(1, shape=(), dtype=int32)"
 yuck donald trump cameo home alon,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump walter reed 12 diet coke day mcdonald final start tear bodi apart,"tf.Tensor(1, shape=(), dtype=int32)"
 today learn impeach add us constitut specif remov donald trump offic,"tf.Tensor(1, shape=(), dtype=int32)"
 saw donald trump home alon voic sound like teenag lol,"tf.Tensor(2, shape=(), dtype=int32)"
 realli happen wtf,"tf.Tensor(0, shape=(), dtype=int32)"
 russian hope manifest underli must defeat trump impeach either way must not endur anoth four year donald trump joe biden warn 8 year trump destroy democraci believ true defeat trump 2020 impeach 🇺 🇸,"tf.Tensor(0, shape=(), dtype=int32)"
 donald trump steal lot money chariti still let get away rape,"tf.Tensor(0, shape=(), dtype=int32)"
 radio host craig silverman cut mid show critic presid trump,"tf.Tensor(1, shape=(), dtype=int32)"
 jam rickard donald trump genius via,"tf.Tensor(1, shape=(), dtype=int32)"
 cannot genocid polit conveni one hundr year not enough hey thank god donald trump have make america great elimin polit correct speak up persecut christian,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump,"tf.Tensor(1, shape=(), dtype=int32)"
 knus radio host craig silverman fire midshow critic trump freedomofspeech tho,"tf.Tensor(1, shape=(), dtype=int32)"
 agre complet have never disgrac like donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 welcom 1984 star donald trump dictat,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump tell scotus few week ago kind thing perfect fine gay man pay slash d par femal offic lawsuit claim,"tf.Tensor(2, shape=(), dtype=int32)"
 dishonest donald trump devast day trump presid come sharp focus congress whitehous and court analysi yovanovitch testifi roger stone convict trump tweet right,"tf.Tensor(0, shape=(), dtype=int32)"
 excus day day partisan warfar start june 2015 donald trump make grand escal entranc have get wors everi day sinc obnoxi tweet,"tf.Tensor(0, shape=(), dtype=int32)"
 white hous meet lev parna brag trump secret mission among mani guest have pictur take presid donald trump white hous annual hanukkah parti last year two soviet bear businessmen florida lev,"tf.Tensor(2, shape=(), dtype=int32)"
 labour exclud nhs medicin trade deal us,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump dummi stillwithkap,"tf.Tensor(1, shape=(), dtype=int32)"
 do anyon think woman unstopp commerci look like odd femin donald trump,"tf.Tensor(0, shape=(), dtype=int32)"
 impeach donald trump explain extortionisttrump trump extortionisttrump trump lockhimup impeachmenthear impeachmentday impeachmentinquiri rogerston rogerston,"tf.Tensor(1, shape=(), dtype=int32)"
 dishonest donald trump devast day trump presid come sharp focus congress whitehous and court analysi yovanovitch testifi roger stone convict trump tweet right,"tf.Tensor(0, shape=(), dtype=int32)"
 fair judg have inquiri,"tf.Tensor(2, shape=(), dtype=int32)"
 dishonest donald trump devast day trump presid come sharp focus congress whitehous and court analysi yovanovitch testifi roger stone convict trump tweet right,"tf.Tensor(0, shape=(), dtype=int32)"
 america wasn t build socialist bureaucraci oper elit polit class ignor middl american trump saw no one capabl do have do lay asid success life step up els could do besid donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 most ve hear kirsti alley recent wasn t tv land sitcom pull everi tool belt make work endors donald trump later pull,"tf.Tensor(2, shape=(), dtype=int32)"
 dishonest donald trump devast day trump presid come sharp focus congress whitehous and court analysi yovanovitch testifi roger stone convict trump tweet right,"tf.Tensor(0, shape=(), dtype=int32)"
 hmmmm somebodi could have tell 63 000 000 voter mayb wouldn t have elect donald j trump maga,"tf.Tensor(1, shape=(), dtype=int32)"
 know repeat look donald trump twitter account barack obama obama follow 600 000 donald trump follow 47 one do think doesn t give damn anyon els think yep dirtydonaldtrump,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump big strong militari siphon militari fund pay vaniti project wall,"tf.Tensor(2, shape=(), dtype=int32)"
 trump 73 arriv walter reed nation militari medic center saturday afternoon physic exam have not previous announc,"tf.Tensor(0, shape=(), dtype=int32)"
 ivanka trump mortifi barron trump old enough know better cring worthi clip,"tf.Tensor(2, shape=(), dtype=int32)"
 knus radio host craig silverman fire midshow critic trump via,"tf.Tensor(1, shape=(), dtype=int32)"
 censorship best lie deep state derangeddonald puppet like tri control honest express knus radio host craig silverman fire midshow critic trump via,"tf.Tensor(2, shape=(), dtype=int32)"
 tweet age steve o tell dear leader let first hand wit testifi stop obstruct justic,"tf.Tensor(2, shape=(), dtype=int32)"
 jordan thank lord jesus christ work good america life presid donald trump life,"tf.Tensor(2, shape=(), dtype=int32)"
 like would like invit visit caricatur,"tf.Tensor(1, shape=(), dtype=int32)"
 donald j trump pardon roger stone sign petit via,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump announc revolutionari healthcar transpar rule,"tf.Tensor(1, shape=(), dtype=int32)"
 agre wholeheart veri interest see peopl punish reprimand violat 4th mani citizen fourth amend right includ donald trump pretti sure bill barr have fli world 👍,"tf.Tensor(2, shape=(), dtype=int32)"
 triggereddemocrat leav thrive hate want silenc us donald trump jr 9781546086031 book,"tf.Tensor(0, shape=(), dtype=int32)"
 not someon big fan target white piec shit form mixtur donald trump sr fece and cum donald trump jr human latrin,"tf.Tensor(0, shape=(), dtype=int32)"
 see corrupt blatant dishonesti trump and croni also see bulli smear american hero w courag take oath tell truth braveri inspir radio host craig silverman cut mid show critic presid trump,"tf.Tensor(0, shape=(), dtype=int32)"
 donald trump veri histor veri bad week,"tf.Tensor(0, shape=(), dtype=int32)"
 bts like would like invit visit caricatur,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump destroy world,"tf.Tensor(0, shape=(), dtype=int32)"
 donald trump have get away everi singl one corrupt deed far name one,"tf.Tensor(0, shape=(), dtype=int32)"
 limbaugh support donald trump have never greater right,"tf.Tensor(2, shape=(), dtype=int32)"
 origin side equal bad can t think anyth funni say donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump white hous republican have lose nine legisl chamber nationwid,"tf.Tensor(1, shape=(), dtype=int32)"
 weren t trash would have understand perform yesterday trash have catapult rival littl know 5000 twitter follow 190k fundrais 400k thank perform against patriot donald trump,"tf.Tensor(0, shape=(), dtype=int32)"
 seem confus mountisn proof against donald trump anyon els confus sinc chris move solo,"tf.Tensor(0, shape=(), dtype=int32)"
 america wasn t build socialist bureaucraci oper elit polit class ignor middl american trump saw no one capabl do have do lay asid success life step up els could do besid donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 mean re fight against donald trump freedom strong militari without take fund build wall lol colorado protect constitut unlaw shred u have ball u defend crimin honor,"tf.Tensor(2, shape=(), dtype=int32)"
 nancypelosi rip impostor realdonaldtrump piec via think part insecur impost repaoc housedemwomen repmg repdmp repkatieport repvaldem repadamschiff speakerpelosi repdebhaaland,"tf.Tensor(0, shape=(), dtype=int32)"
 nation most say media work democrat impeach trump 53 black voter 60 minor voter say media tri help impeach presid donald trump rasmussen,"tf.Tensor(2, shape=(), dtype=int32)"
 nick tsagari donald trump impeach hear have begin republican continu support click read nicktsagari donald trump news polit politicsnew republican abcnew,"tf.Tensor(1, shape=(), dtype=int32)"
 win t believ mike penc say impeach donald trump call bs stori,"tf.Tensor(2, shape=(), dtype=int32)"
 america wasn t build socialist bureaucraci oper elit polit class ignor middl american trump saw no one capabl do have do lay asid success life step up els could do besid donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 247 reason person doesn t believ murder ok reason person doesn t have cult like faith anyon let alon donald trump ok admit don t believ democraci admit,"tf.Tensor(2, shape=(), dtype=int32)"
 say donald trump lie sure not use sarcastica 10pt font,"tf.Tensor(2, shape=(), dtype=int32)"
 more obama injustic right thank tcot militari kag,"tf.Tensor(2, shape=(), dtype=int32)"
 kim not ag,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump gamer challleng ur gamer weather onlin gam system laptop against ur fake u piss wrong dirti democrat donald trump feder prick dont have appor u can talk talk cant u walk walk,"tf.Tensor(0, shape=(), dtype=int32)"
 donald trump have have lot terribl lawyer rudi giuliani might worst via,"tf.Tensor(0, shape=(), dtype=int32)"
 mcaleenan ever put power posit administr must choos offici more care deep state donald trump dhs chief direct attack trump remain mexico program via,"tf.Tensor(2, shape=(), dtype=int32)"
 not one singl person ve talk week have mention donald trump impeach los angel,"tf.Tensor(0, shape=(), dtype=int32)"
 trump secret heat attack,"tf.Tensor(0, shape=(), dtype=int32)"
 defens secretari urg trump not interven war crime case,"tf.Tensor(1, shape=(), dtype=int32)"
 wow despit lack pizzazz even trump watch donald trump impeach spectacl unexpect must see tv star 😂,"tf.Tensor(2, shape=(), dtype=int32)"
 warn,"tf.Tensor(1, shape=(), dtype=int32)"
 mani mani peopl want donald trump have 2nd tern,"tf.Tensor(2, shape=(), dtype=int32)"
 biker jr america wasn t build socialist bureaucraci oper elit polit class ignor middl american trump saw no one capabl do have do lay asid success life step up els could do besid donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 1 day sinc donald trump public attack femal state depart employe do job,"tf.Tensor(1, shape=(), dtype=int32)"
 run d run republican dumbest group voter countri love anyth fox news could lie eat up number terrif donald j trump quot peopl magazin 1998 see daili,"tf.Tensor(2, shape=(), dtype=int32)"
 dog rat onli 2 anim donald trump know,"tf.Tensor(1, shape=(), dtype=int32)"
 twitter suspend numer account tweet hire donald trump fire peopl like yovanovitch via,"tf.Tensor(1, shape=(), dtype=int32)"
 america wasn t build socialist bureaucraci oper elit polit class ignor middl american trump saw no one capabl do have do lay asid success life step up els could do besid donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 hmmmm could trump have interest ukrainian gas and oil donald trump lift anti corrupt rule gift american oil lobbi,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump grant clemenc armi major matt golsteyn 1st lt clint loranc breitbart,"tf.Tensor(2, shape=(), dtype=int32)"
 democrat impeach witch hunt take dramat turn start public hear presid donald trump need win can muster,"tf.Tensor(1, shape=(), dtype=int32)"
 go ahead toofarleft don t have surpris do happen look come cri donald trump win 2020 keep senat,"tf.Tensor(2, shape=(), dtype=int32)"
 hire donald trump fire peopl like yovanovitch,"tf.Tensor(1, shape=(), dtype=int32)"
 trump fan love bleat selfless donald donat salari ignor ten million pocket penc militari stay resort membership fee doubl mar lago soon elect payment secret servic golf out,"tf.Tensor(2, shape=(), dtype=int32)"
 have remov rectum,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump hat sich vor 15 jahren mal absch tzig ber frauen ge u ert und irgend ein idiot hat das aufgenommen wenn wir auf dieser eben kommunizieren wollen dann steht un etwa in haus das hat georg orwel treffend beschrieben,"tf.Tensor(0, shape=(), dtype=int32)"
 donald trump get elect riot street,"tf.Tensor(1, shape=(), dtype=int32)"
 america wasn t build socialist bureaucraci oper elit polit class ignor middl american trump saw no one capabl do have do lay asid success life step up els could do besid donald trump,"tf.Tensor(2, shape=(), dtype=int32)"
 herebi accus presid donald trump briberi tax fraud obstruct justic treason herebi accus t donald trump jr also briberi campaign violat obstruct justic treason,"tf.Tensor(1, shape=(), dtype=int32)"
 16nov las guair no se quedaron atr y salieron la call decirl no al fascismo racismo y golpismo de donald trump venezuelacontraelfascismo,"tf.Tensor(0, shape=(), dtype=int32)"
 vote berni can t have presid like donald trump anymor destroy world 🇲 🇺 🇲 🇺,"tf.Tensor(0, shape=(), dtype=int32)"
 impeach donald trump,"tf.Tensor(1, shape=(), dtype=int32)"
 hire donald trump fire peopl like yovanovitch,"tf.Tensor(1, shape=(), dtype=int32)"
 via,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump go get impeach last month offic 😂,"tf.Tensor(2, shape=(), dtype=int32)"
 realli direct site support kamala harri fact check kamala harri pretti stupid would like ask donald trump deserv impeach cours go say no,"tf.Tensor(2, shape=(), dtype=int32)"
 day underscor corrupt swamp trump presid,"tf.Tensor(0, shape=(), dtype=int32)"
 presid donald j trump choos god save countri sure not perfect man do tremend job economi boom best 50 year do much do free,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump releas transcript first call ukrainian presid volodymyr zelenski,"tf.Tensor(2, shape=(), dtype=int32)"
 didn t get 4000 00 9000 00 pay rais mitch mcconnel donald john john miller john barron david dennison trump promis do maga,"tf.Tensor(1, shape=(), dtype=int32)"
 do know donald trump hadn t escap unit state america do name today would donald mctrump,"tf.Tensor(1, shape=(), dtype=int32)"
 part donald trump doesn t give fuck anyon think hard understand oh btw dirtydonaldtrump doesn t give fuck anyon think onli follow 47 twitter would have think,"tf.Tensor(0, shape=(), dtype=int32)"
 sad peopl think smart onli have certain colleg degre degre doesn t necessarili make smart mean look donald trump tri run multi million dollar movi set ad compar wit,"tf.Tensor(0, shape=(), dtype=int32)"
 fox news more like trump impeach shield,"tf.Tensor(2, shape=(), dtype=int32)"
 bill clinton donald trump absolut rap children jeffrey epstein,"tf.Tensor(2, shape=(), dtype=int32)"
 trump secret rush hospit media black,"tf.Tensor(0, shape=(), dtype=int32)"
 lauren assum veri consid decis justic brett kavanaugh presid donald trump most recent appoint bench say decis end can agre disagre merit shortfal,"tf.Tensor(2, shape=(), dtype=int32)"
 onli bulli use chickenshit act mean russia have better militari hardwar hillari own statement presid donald j trump sign counter america adversari sanction act via,"tf.Tensor(2, shape=(), dtype=int32)"
